B_aplicado_T,M_proj,S,t_s
8.650751518879285e-05,0.24246621156076809,0.2520451768348439,0.20489286800684567
8.760143277555486e-05,0.2440227563107772,0.2539761095641954,0.20727534321622762
8.86984581353314e-05,0.24571367336624167,0.2560089201499516,0.20965781842560954
8.979863018650206e-05,0.24753450976239186,0.2581381103876037,0.21204029363499147
9.090198795907924e-05,0.24948147079401692,0.2603599424430956,0.2144227688443734
9.200857059609298e-05,0.25155135302087644,0.26267219514644913,0.2168052440537553
9.311841735497949e-05,0.2537413523313652,0.2650737655369431,0.21918771926313724
9.423156760897382e-05,0.256048766999194,0.26756415593906374,0.22157019447251916
9.534806084850683e-05,0.2584706278211825,0.2701428932533759,0.22395266968190108
9.6467936682606e-05,0.2610032933912157,0.2728089273925755,0.226335144891283
9.759123484030071e-05,0.2636420485857003,0.2755600514143105,0.22871762010066493
9.87179951720317e-05,0.26638073977356563,0.2783923788798877,0.23110009531004688
9.984825765106468e-05,0.2692114730263801,0.2812999061912296,0.2334825705194288
0.00010098206237490859,0.2721243936211576,0.2842741805797493,0.23586504572881073
0.00010211944956673799,0.27510755797350617,0.2873040888862276,0.23824752093819265
0.00010326045957682015,0.2781469037864658,0.2903757784567572,0.24062999614757458
0.00010440513288394635,0.281226320896631,0.2934727188950213,0.2430124713569565
0.00010555351009686813,0.2843278235596889,0.2965759109910268,0.24539494656633842
0.00010670563195573781,0.28743182369521714,0.29966424550223403,0.24777742177572035
0.00010786153933355376,0.29051750264215614,0.3027150083064385,0.25015989698510227
0.00010902127323761054,0.2935632752360439,0.3057045191090925,0.2525423721944842
0.0001101848748109536,0.2965473341302031,0.30860887876414156,0.2549248474038661
0.00011135238533383893,0.29944825472531933,0.31140478696869656,0.25730732261324807
0.00011252384622519748,0.3022456330970491,0.3140703801975854,0.25968979782262996
0.00011369929904410465,0.3049207226015618,0.31658603216669956,0.2620722730320119
0.00011487878549125451,0.3074570310418084,0.3189350582653571,0.26445474824139387
0.00011606234741043924,0.30984084057801203,0.32110427243048933,0.26683722345077576
0.00011725002679003372,0.3120616174092328,0.3230843593252411,0.2692196986601577
0.00011844186576448487,0.3141122872514203,0.32487004429327543,0.2716021738695396
