t_s,B_aplicado_T,M_proj,S
2.0846658082091856,0.009710601243960091,0.9437434200653505,0.943826433034796
2.0870482834185675,0.009652926963019694,0.9436712582285439,0.9437602390401827
2.0894307586279495,0.00959559513202534,0.9421516255501067,0.9422357569323674
2.0918132338373314,0.0095386037170569,0.9396397738840747,0.9397077892530855
2.0941957090467134,0.009481950696270943,0.9369270948772619,0.9369697793040999
2.0965781842560953,0.009425634059829003,0.9347668285810457,0.9347829788964505
2.0989606594654773,0.009369651809826282,0.9336008854831246,0.9336016739144115
2.1013431346748592,0.009314001960220768,0.9335303899257016,0.9335367732938762
2.103725609884241,0.009258682536762776,0.9344405173367017,0.934474706482888
2.106108085093623,0.009203691576924912,0.9361001985598477,0.9361763376697956
2.108490560303005,0.009149027129832458,0.9381700542826471,0.9382885105561388
2.110873035512387,0.009094687256194143,0.9401898245370998,0.9403372670367888
2.113255510721769,0.009040670028233359,0.9416257442859974,0.9417805655212905
2.115637985931151,0.008986973529619767,0.9420093064215109,0.942149473591205
2.118020461140533,0.008933595855401313,0.9411483973791027,0.9412578521649024
2.1204029363499144,0.008880535111936656,0.939270418481481,0.9393416079076643
2.1227854115592963,0.008827789416827958,0.9369288115264136,0.9369628258259017
2.1251678867686783,0.008775356898854121,0.9347304280590049,0.9347376941406774
2.1275503619780602,0.008723235697904456,0.9331108261439026,0.9331115484867705
2.129932837187442,0.008671423964912578,0.9322784845956056,0.9322994012728041
2.132315312396824,0.008619919861790934,0.9322778768459004,0.9323446634100557
2.134697787606206,0.00856872156136548,0.9330583419969094,0.9331864162035944
2.137080262815588,0.00851782724731097,0.9344781391374659,0.9346654745874733
2.13946273802497,0.008467235114086407,0.9362695131216211,0.9364953690935958
2.141845213234352,0.008416943366871103,0.9380445303883472,0.9382762064037782
2.144227688443734,0.008366950221500887,0.9393693775094535,0.9395736470921252
2.146610163653116,0.008317253904404935,0.9398760882250471,0.940029243890773
2.148992638862498,0.008267852652542726,0.9393879059084925,0.9394811966291517
2.1513751140718798,0.008218744713341612,0.9380058814354839,0.938046142492704
2.1537575892812617,0.008169928344634533,0.9360696863537479,0.9360765476609948
2.1561400644906437,0.008121401814598316,0.9340069376634453,0.9340087822587321
2.1585225397000256,0.00807316340169214,0.9321950529875882,0.9322244006738138
2.1609050149094076,0.008025211394596556,0.9309096294024536,0.9309969900299124
2.163287490118789,0.007977544092152688,0.9303349144286033,0.9305011038041808
2.165669965328171,0.007930159803301931,0.9305783456261406,0.930826986173761
2.168052440537553,0.00788305684702596,0.9316436034101924,0.9319567391879069
2.170434915746935,0.00783623355228708,0.9333691286790413,0.9337097885679191
2.172817390956317,0.007789688257968948,0.9354019215018679,0.9357250535439633
2.175199866165699,0.007743419312817639,0.9372613828907186,0.9375280904046571
2.1775823413750808,0.007697425075383064,0.938467916502838,0.938655383386567
2.1799648165844627,0.007651703913960755,0.93867813884033,0.9387830682088694
2.1823472917938447,0.007606254206533954,0.9377885160633729,0.9378266390475395
2.1847297670032266,0.007561074340716085,0.9359728882153963,0.9359757641448381
2.1871122422126086,0.007516162713693548,0.9336244053495426,0.933633158433621
2.1894947174219905,0.007471517732168859,0.9312230493671027,0.9312800666381383
2.1918771926313725,0.0074271378123041245,0.9292029086832778,0.929343122569677
2.1942596678407544,0.007383021379664852,0.9278844075517665,0.928127079812117
2.1966421430501364,0.007339166869164093,0.9274747428544018,0.9278170558360577
2.1990246182595183,0.0072955727250069305,0.928076889680262,0.9284916889283886
2.2014070934689003,0.007252237400635267,0.9296467895329508,0.930087159371696
2.2037895686782822,0.007209159358672975,0.9319204269186878,0.9323321327448935
2.2061720438876637,0.007166337070871353,0.9344052416509361,0.9347430118020679
2.2085545190970457,0.0071237690180548895,0.9364911127847659,0.93673028554671
2.2109369943064276,0.007081453690067402,0.9376325188439663,0.9377712928217795
2.2133194695158096,0.007039389585718441,0.9375106598660489,0.9375667720190921
2.2157019447251916,0.00699757521273003,0.9361183295024241,0.9361257545388646
2.2180844199345735,0.006956009087683741,0.9337528606621575,0.9337584020732987
2.2204668951439555,0.006914689735968058,0.9309262394892854,0.9309826097263099
2.2228493703533374,0.00687361569172606,0.928220122879595,0.9283748874510882
2.2252318455627194,0.006832785497803429,0.9261383908302041,0.926421668878459
2.2276143207721013,0.006792197705696743,0.9250187044775123,0.9254337153525204
2.2299967959814833,0.006751850875502101,0.925022936825394,0.9255432320498983
2.232379271190865,0.00671174357586403,0.9261591557398894,0.9267342598478217
2.234761746400247,0.006671874383924713,0.9282707163763834,0.9288384840372469
2.237144221609629,0.006632241885273505,0.9309913477783676,0.9314931910308587
2.239526696819011,0.006592844673896766,0.9337430364197806,0.9341374203500573
2.241909172028393,0.0065536813521279635,0.9358510450912588,0.9361206869927815
2.244291647237775,0.006514750530598106,0.9367543277743231,0.9369055713435587
2.246674122447157,0.006476050828186441,0.9361967026081062,0.9362549329040116
2.2490565976565384,0.0064375808719714725,0.9342943816417677,0.9343006425805311
2.2514390728659204,0.006399339297182223,0.931468608789784,0.93147748670939
2.2538215480753023,0.00636132474714986,0.9283054870770411,0.9283795600314635
2.2562040232846843,0.0063235358732595375,0.9254076873844206,0.9256053413400683
2.2585864984940662,0.006285971334902561,0.9232733885320573,0.9236324420358709
2.260968973703448,0.006248629799428823,0.9222223419471591,0.9227463203545915
2.26335144891283,0.006211509942099533,0.9223768797903347,0.9230310903218871
2.265733924122212,0.006174610446040215,0.9236795408393008,0.9243998404648898
2.268116399331594,0.0061379300021939896,0.9259128982382241,0.9266234707687696
2.270498874540976,0.006101467309275139,0.9287051992680324,0.9293376259787518
