t_s,B_T,M_proj,S,B_r
4.847358557004453,0.0534814782324316,0.9999999870685504,0.9999999870685504,0.007241379310344825
4.848344995457242,0.05379101581589295,0.9999999872847785,0.9999999872847785,0.007241379310344825
4.849331433910031,0.05410055339935429,0.999999987386152,0.999999987386152,0.007241379310344825
4.85031787236282,0.054410090982815636,0.9999999873830973,0.9999999873830973,0.007241379310344825
4.851304310815609,0.054719628566276976,0.9999999872920197,0.9999999872920197,0.007241379310344825
4.8522907492683975,0.055029166149738316,0.9999999871343662,0.9999999871343662,0.007241379310344825
4.853277187721186,0.055338703733199664,0.9999999869354381,0.999999986935438,0.007241379310344825
4.854263626173975,0.055648241316661004,0.999999986722861,0.999999986722861,0.007241379310344825
4.855250064626764,0.05595777890012235,0.9999999865246898,0.9999999865246898,0.007241379310344825
4.856236503079553,0.0562673164835837,0.9999999863672409,0.9999999863672409,0.007241379310344825
4.857222941532342,0.05657685406704503,0.9999999862728606,0.9999999862728606,0.007241379310344825
4.858209379985131,0.05688639165050638,0.9999999862579158,0.9999999862579158,0.007241379310344825
4.85919581843792,0.05719592923396772,0.9999999863313106,0.9999999863313106,0.007241379310344825
4.860182256890709,0.05750546681742907,0.999999986493776,0.9999999864937761,0.007241379310344825
4.861168695343497,0.05781500440089013,0.9999999867380532,0.9999999867380532,0.007241379310344825
4.862155133796286,0.05812454198435148,0.9999999870499501,0.9999999870499501,0.007241379310344825
4.8631415722490745,0.05843407956781282,0.999999987410095,0.999999987410095,0.007241379310344825
4.864128010701863,0.05874361715127416,0.9999999877961122,0.9999999877961122,0.007241379310344825
4.865114449154652,0.059053154734735505,0.9999999881849039,0.9999999881849039,0.007241379310344825
4.866100887607441,0.059362692318196845,0.9999999885547444,0.9999999885547443,0.007241379310344825
4.86708732606023,0.05967222990165819,0.9999999888869762,0.9999999888869762,0.007241379310344825
4.868073764513019,0.05998176748511953,0.9999999891672051,0.9999999891672051,0.007241379310344825
4.869060202965808,0.060291305068580874,0.999999989385984,0.999999989385984,0.007241379310344825
4.870046641418597,0.06060084265204222,0.9999999895390554,0.9999999895390554,0.007241379310344825
4.871033079871386,0.06091038023550356,0.9999999896272486,0.9999999896272486,0.007241379310344825
4.872019518324175,0.06121991781896491,0.9999999896561094,0.9999999896561094,0.007241379310344825
4.8730059567769635,0.061529455402426256,0.9999999896353188,0.9999999896353188,0.007241379310344825
4.873992395229752,0.06183899298588759,0.9999999895779071,0.9999999895779071,0.007241379310344825
4.874978833682541,0.062148530569348936,0.9999999894992617,0.9999999894992617,0.007241379310344825
4.87596527213533,0.06245806815281028,0.9999999894159307,0.9999999894159307,0.007241379310344825
4.876951710588119,0.06276760573627162,0.9999999893442689,0.9999999893442689,0.007241379310344825
4.877938149040908,0.06307714331973296,0.9999999892990212,0.9999999892990211,0.007241379310344825
4.878924587493697,0.06338668090319431,0.9999999892919896,0.9999999892919896,0.007241379310344825
4.879911025946486,0.06369621848665566,0.9999999893309534,0.9999999893309534,0.007241379310344825
4.880897464399275,0.06400575607011699,0.9999999894189955,0.9999999894189955,0.007241379310344825
4.8818839028520635,0.06431529365357833,0.9999999895543424,0.9999999895543424,0.007241379310344825
4.882870341304852,0.06462483123703969,0.9999999897307397,0.9999999897307397,0.007241379310344825
4.883856779757641,0.06493436882050102,0.999999989938305,0.999999989938305,0.007241379310344825
4.884843218210429,0.06524390640396209,0.9999999901647236,0.9999999901647236,0.007241379310344825
4.885829656663218,0.06555344398742344,0.9999999903966124,0.9999999903966124,0.007241379310344825
4.886816095116007,0.06586298157088477,0.9999999906208695,0.9999999906208695,0.007241379310344825
4.887802533568796,0.06617251915434612,0.999999990825861,0.999999990825861,0.007241379310344825
4.888788972021585,0.06648205673780747,0.9999999910023424,0.9999999910023424,0.007241379310344825
4.889775410474374,0.0667915943212688,0.9999999911440705,0.9999999911440705,0.007241379310344825
4.890761848927163,0.06710113190473016,0.99999999124811,0.99999999124811,0.007241379310344825
4.891748287379952,0.0674106694881915,0.999999991314859,0.999999991314859,0.007241379310344825
4.8927347258327405,0.06772020707165283,0.9999999913478345,0.9999999913478345,0.007241379310344825
4.893721164285529,0.06802974465511417,0.9999999913532477,0.9999999913532477,0.007241379310344825
4.894707602738318,0.06833928223857552,0.9999999913393971,0.999999991339397,0.007241379310344825
4.895694041191107,0.06864881982203687,0.9999999913159026,0.9999999913159026,0.007241379310344825
4.896680479643896,0.0689583574054982,0.9999999912928251,0.9999999912928251,0.007241379310344825
4.897666918096685,0.06926789498895955,0.9999999912797273,0.9999999912797273,0.007241379310344825
4.898653356549474,0.0695774325724209,0.9999999912847659,0.9999999912847659,0.007241379310344825
4.899639795002263,0.06988697015588223,0.9999999913139133,0.9999999913139133,0.007241379310344825
4.950934594547284,0.06936834299562927,0.9999999916870992,0.9999999916870992,0.002413793103448275
4.9519210330000725,0.06870164666202024,0.9999999916467729,0.9999999916467729,0.002413793103448275
4.952907471452861,0.06803495032841118,0.9999999915776852,0.9999999915776852,0.002413793103448275
4.95389390990565,0.06736825399480215,0.9999999914719879,0.9999999914719879,0.002413793103448275
4.954880348358439,0.0667015576611931,0.9999999913250955,0.9999999913250954,0.002413793103448275
4.955866786811227,0.06603486132758464,0.9999999911357909,0.9999999911357909,0.002413793103448275
4.956853225264016,0.06536816499397559,0.9999999909060941,0.9999999909060939,0.002413793103448275
4.957839663716805,0.06470146866036655,0.9999999906409183,0.9999999906409183,0.002413793103448275
4.958826102169594,0.06403477232675751,0.9999999903475384,0.9999999903475384,0.002413793103448275
4.959812540622383,0.06336807599314846,0.9999999900348878,0.9999999900348878,0.002413793103448275
4.960798979075172,0.06270137965953941,0.9999999897127251,0.9999999897127251,0.002413793103448275
4.9617854175279605,0.062034683325930366,0.9999999893907298,0.9999999893907298,0.002413793103448275
4.962771855980749,0.061367986992321315,0.9999999890776112,0.9999999890776112,0.002413793103448275
4.963758294433538,0.06070129065871227,0.999999988780324,0.999999988780324,0.002413793103448275
4.964744732886327,0.060034594325103226,0.9999999885034765,0.9999999885034765,0.002413793103448275
4.965731171339116,0.059367897991494174,0.9999999882489948,0.9999999882489948,0.002413793103448275
4.966717609791905,0.05870120165788513,0.9999999880160678,0.9999999880160678,0.002413793103448275
4.967704048244694,0.058034505324276085,0.9999999878013605,0.9999999878013605,0.002413793103448275
4.968690486697483,0.057367808990667034,0.9999999875994492,0.999999987599449,0.002413793103448275
4.969676925150272,0.05670111265705799,0.9999999874034059,0.9999999874034059,0.002413793103448275
4.970663363603061,0.05603441632344894,0.9999999872054581,0.9999999872054581,0.002413793103448275
4.9716498020558495,0.0553677199898399,0.9999999869976454,0.9999999869976455,0.002413793103448275
4.972636240508638,0.05470102365623085,0.999999986772417,0.999999986772417,0.002413793103448275
4.973622678961427,0.0540343273226218,0.9999999865231289,0.9999999865231289,0.002413793103448275
4.974609117414216,0.05336763098901275,0.999999986244418,0.9999999862444181,0.002413793103448275
4.975595555867005,0.05270093465540371,0.9999999859324433,0.9999999859324433,0.002413793103448275
4.976581994319794,0.05203423832179466,0.9999999855850028,0.9999999855850026,0.002413793103448275
4.977568432772583,0.05136754198818561,0.9999999852015283,0.9999999852015284,0.002413793103448275
4.978554871225372,0.05070084565457656,0.9999999847829771,0.9999999847829771,0.002413793103448275
4.97954130967816,0.05003414932096812,0.9999999843316278,0.9999999843316278,0.002413793103448275
4.980527748130949,0.049367452987359076,0.9999999838508038,0.9999999838508038,0.002413793103448275
4.981514186583738,0.048700756653750024,0.999999983344539,0.9999999833445389,0.002413793103448275
4.9825006250365265,0.04803406032014097,0.9999999828172097,0.9999999828172097,0.002413793103448275
4.983487063489315,0.047367363986531935,0.9999999822731588,0.9999999822731588,0.002413793103448275
4.984473501942104,0.046700667652922884,0.9999999817163355,0.9999999817163355,0.002413793103448275
4.985459940394893,0.04603397131931384,0.9999999811499777,0.9999999811499777,0.002413793103448275
4.986446378847682,0.04536727498570479,0.9999999805763564,0.9999999805763564,0.002413793103448275
4.987432817300471,0.04470057865209574,0.9999999799965992,0.9999999799965992,0.002413793103448275
4.98841925575326,0.0440338823184867,0.9999999794105964,0.9999999794105964,0.002413793103448275
4.989405694206049,0.04336718598487765,0.9999999788169948,0.9999999788169948,0.002413793103448275
4.990392132658838,0.0427004896512686,0.9999999782132678,0.9999999782132678,0.002413793103448275
4.9913785711116265,0.04203379331765956,0.9999999775958491,0.9999999775958491,0.002413793103448275
4.992365009564415,0.04136709698405051,0.9999999769603144,0.9999999769603144,0.002413793103448275
4.993351448017204,0.04070040065044146,0.9999999763015921,0.9999999763015921,0.002413793103448275
4.994337886469993,0.04003370431683242,0.9999999756141832,0.9999999756141832,0.002413793103448275
4.995324324922782,0.039367007983223366,0.9999999748923754,0.9999999748923754,0.002413793103448275
4.996310763375571,0.03870031164961432,0.9999999741304383,0.9999999741304383,0.002413793103448275
4.99729720182836,0.03803361531600527,0.9999999733227886,0.9999999733227886,0.002413793103448275
4.998283640281149,0.03736691898239623,0.9999999724641184,0.9999999724641184,0.002413793103448275
4.999270078733938,0.03670022264878718,0.9999999715494838,0.9999999715494838,0.002413793103448275
5.000256517186727,0.036033526315178144,0.9999999705743513,0.9999999705743513,0.002413793103448275
5.0012429556395155,0.03536682998156909,0.9999999695346047,0.9999999695346047,0.002413793103448275
5.002229394092304,0.03470013364796005,0.9999999684265137,0.9999999684265138,0.002413793103448275
5.003215832545092,0.0340334373143516,0.9999999672466687,0.9999999672466688,0.002413793103448275
5.004202270997881,0.033366740980742556,0.9999999659918851,0.9999999659918851,0.002413793103448275
5.00518870945067,0.032700044647133504,0.9999999646590838,0.9999999646590838,0.002413793103448275
5.006175147903459,0.03203334831352446,0.9999999632451542,0.9999999632451543,0.002413793103448275
5.007161586356248,0.031366651979915415,0.9999999617468015,0.9999999617468015,0.002413793103448275
5.008148024809037,0.030699955646306367,0.999999960160388,0.999999960160388,0.002413793103448275
5.009134463261826,0.03003325931269732,0.9999999584817705,0.9999999584817705,0.002413793103448275
5.010120901714615,0.02936656297908827,0.9999999567061388,0.9999999567061388,0.002413793103448275
5.011107340167404,0.028699866645479227,0.9999999548278591,0.9999999548278591,0.002413793103448275
5.0120937786201925,0.02803317031187018,0.9999999528403227,0.9999999528403227,0.002413793103448275
5.013080217072981,0.02736647397826113,0.9999999507358037,0.9999999507358037,0.002413793103448275
5.01406665552577,0.026699777644652083,0.9999999485053213,0.9999999485053213,0.002413793103448275
5.015053093978559,0.026033081311043038,0.9999999461385084,0.9999999461385084,0.002413793103448275
5.016039532431348,0.02536638497743399,0.999999943623483,0.9999999436234829,0.002413793103448275
5.017025970884137,0.024699688643824946,0.9999999409467158,0.9999999409467158,0.002413793103448275
5.018012409336926,0.024032992310215894,0.9999999380928936,0.9999999380928936,0.002413793103448275
5.018998847789715,0.02336629597660685,0.9999999350447684,0.9999999350447684,0.002413793103448275
5.019985286242504,0.0226995996429978,0.9999999317829896,0.9999999317829896,0.002413793103448275
5.0209717246952925,0.022032903309388757,0.9999999282859092,0.9999999282859092,0.002413793103448275
5.021958163148081,0.021366206975779706,0.9999999245293555,0.9999999245293555,0.002413793103448275
5.02294460160087,0.02069951064217066,0.9999999204863641,0.9999999204863641,0.002413793103448275
5.023931040053659,0.020032814308561617,0.9999999161268606,0.9999999161268606,0.002413793103448275
5.024917478506448,0.01936611797495257,0.9999999114172824,0.9999999114172823,0.002413793103448275
5.025903916959237,0.018699421641343524,0.9999999063201297,0.9999999063201297,0.002413793103448275
5.026890355412025,0.018032725307735076,0.9999999007934356,0.9999999007934356,0.002413793103448275
5.027876793864814,0.01736602897412603,0.9999998947901354,0.9999998947901354,0.002413793103448275
5.028863232317603,0.01669933264051698,0.9999998882573253,0.9999998882573253,0.002413793103448275
5.029849670770392,0.016032636306907933,0.9999998811353853,0.9999998811353853,0.002413793103448275
5.030836109223181,0.015365939973298886,0.9999998733569464,0.9999998733569464,0.002413793103448275
5.0318225476759695,0.01469924363968984,0.9999998648456713,0.9999998648456713,0.002413793103448275
5.032808986128758,0.014032547306080794,0.9999998555148165,0.9999998555148165,0.002413793103448275
5.033795424581547,0.013365850972471746,0.9999998452655342,0.9999998452655342,0.002413793103448275
5.034781863034336,0.0126991546388627,0.9999998339848628,0.9999998339848628,0.002413793103448275
5.035768301487125,0.012032458305253652,0.999999821543346,0.999999821543346,0.002413793103448275
5.036754739939914,0.011365761971644605,0.999999807792206,0.999999807792206,0.002413793103448275
5.037741178392703,0.010699065638035557,0.999999792559977,0.999999792559977,0.002413793103448275
5.038727616845492,0.010032369304426511,0.9999997756484896,0.9999997756484896,0.002413793103448275
5.039714055298281,0.009365672970817465,0.999999756828065,0.999999756828065,0.002413793103448275
5.0407004937510695,0.008698976637208419,0.9999997358317463,0.9999997358317463,0.002413793103448275
5.041686932203858,0.00803228030359937,0.9999997123483594,0.9999997123483594,0.002413793103448275
5.042673370656647,0.0073655839699903235,0.9999996860141341,0.9999996860141341,0.002413793103448275
5.043659809109436,0.006698887636381277,0.9999996564025613,0.9999996564025613,0.002413793103448275
5.044646247562225,0.00603219130277223,0.9999996230120731,0.9999996230120731,0.002413793103448275
5.045632686015014,0.005365494969163184,0.9999995852510353,0.9999995852510354,0.002413793103448275
5.046619124467803,0.004698798635554136,0.9999995424194056,0.9999995424194056,0.002413793103448275
