t_s,B_applied_T,M_proj,S,B_r
5.189426101206261,0.0001235518174081512,0.9996192990427704,0.9996192990427704,-0.0007894736842105265
5.193117015929737,0.00020902563205705475,0.9995822036190932,0.9995822036190932,-0.0007894736842105265
5.196807930653211,0.0002944994467059378,0.9995469811976305,0.9995469811976303,-0.0007894736842105265
5.2004988453766865,0.00037997326135484123,0.9995147046173469,0.9995147046173469,-0.0007894736842105265
5.204189760100162,0.00046544707600374477,0.9994864386857697,0.9994864386857697,-0.0007894736842105265
5.207880674823637,0.0005509208906526483,0.999463191631852,0.999463191631852,-0.0007894736842105265
5.211571589547113,0.0006363947053015518,0.9994458647389641,0.9994458647389641,-0.0007894736842105265
5.215262504270588,0.0007218685199504554,0.999435203028766,0.999435203028766,-0.0007894736842105265
5.218953418994063,0.000807342334599359,0.9994317501327044,0.9994317501327042,-0.0007894736842105265
5.222644333717539,0.0008928161492482626,0.9994358105750547,0.9994358105750547,-0.0007894736842105265
5.226335248441014,0.000978289963897166,0.9994474225573877,0.9994474225573877,-0.0007894736842105265
5.2300261631644895,0.0010637637785460697,0.9994663439424628,0.9994663439424628,-0.0007894736842105265
5.233717077887964,0.0011492375931949526,0.9994920534647337,0.9994920534647338,-0.0007894736842105265
5.237407992611439,0.0012347114078438562,0.9995237682507429,0.9995237682507427,-0.0007894736842105265
5.241098907334915,0.0013201852224927597,0.999560477558764,0.999560477558764,-0.0007894736842105265
5.24478982205839,0.0014056590371416635,0.9996009913289307,0.9996009913289307,-0.0007894736842105265
5.2484807367818656,0.0014911328517905667,0.9996440007984351,0.999644000798435,-0.0007894736842105265
5.252171651505341,0.0015766066664394704,0.9996881472338861,0.9996881472338861,-0.0007894736842105265
5.255862566228816,0.0016620804810883738,0.9997320939221052,0.9997320939221052,-0.0007894736842105265
5.259553480952292,0.0017475542957372775,0.9997745960766813,0.9997745960766812,-0.0007894736842105265
5.263244395675767,0.0018330281103861809,0.9998145633477864,0.9998145633477865,-0.0007894736842105265
5.2669353103992425,0.0019185019250350845,0.9998511101889527,0.9998511101889527,-0.0007894736842105265
5.270626225122717,0.0020039757396839676,0.9998835903885912,0.9998835903885912,-0.0007894736842105265
5.274317139846192,0.002089449554332871,0.9999116135060573,0.9999116135060574,-0.0007894736842105265
5.278008054569668,0.0021749233689817744,0.9999350426077028,0.9999350426077027,-0.0007894736842105265
5.281698969293143,0.0022603971836306783,0.9999539744003189,0.9999539744003189,-0.0007894736842105265
5.2853898840166185,0.0023458709982795817,0.9999687044279026,0.9999687044279026,-0.0007894736842105265
5.289080798740094,0.002431344812928485,0.9999796812683033,0.9999796812683033,-0.0007894736842105265
5.292771713463569,0.0025168186275773886,0.9999874545054523,0.9999874545054523,-0.0007894736842105265
5.296462628187045,0.0026022924422262925,0.9999926215718536,0.9999926215718536,-0.0007894736842105265
5.30015354291052,0.002687766256875196,0.9999957783233483,0.9999957783233483,-0.0007894736842105265
5.303844457633995,0.0027732400715240993,0.9999974774576137,0.9999974774576137,-0.0007894736842105265
5.30753537235747,0.0028587138861729824,0.9999981977184549,0.9999981977184549,-0.0007894736842105265
5.311226287080945,0.002944187700821886,0.999998325394066,0.999998325394066,-0.0007894736842105265
5.314917201804421,0.0030296615154707896,0.9999981481084751,0.9999981481084751,-0.0007894736842105265
5.318608116527896,0.003115135330119693,0.9999978595184937,0.9999978595184938,-0.0007894736842105265
5.322299031251371,0.0032006091447685965,0.9999975724390189,0.9999975724390189,-0.0007894736842105265
5.325989945974847,0.0032860829594175,0.9999973372547368,0.9999973372547366,-0.0007894736842105265
5.329680860698322,0.003371556774066404,0.999997162296734,0.999997162296734,-0.0007894736842105265
5.3333717754217975,0.0034570305887153072,0.9999970331542672,0.9999970331542672,-0.0007894736842105265
5.337062690145273,0.0035425044033642107,0.9999969285706455,0.9999969285706455,-0.0007894736842105265
5.340753604868748,0.003627978218013114,0.9999968314986885,0.9999968314986885,-0.0007894736842105265
5.344444519592223,0.003713452032661997,0.9999967348964447,0.9999967348964445,-0.0007894736842105265
5.348135434315698,0.003798925847310901,0.9999966427585889,0.9999966427585888,-0.0007894736842105265
5.3518263490391735,0.003884399661959805,0.9999965675635962,0.9999965675635961,-0.0007894736842105265
5.355517263762649,0.003969873476608708,0.9999965256848519,0.9999965256848519,-0.0007894736842105265
5.359208178486124,0.004055347291257612,0.9999965323443114,0.9999965323443114,-0.0007894736842105265
5.3628990932096,0.004140821105906516,0.9999965974235652,0.9999965974235652,-0.0007894736842105265
5.366590007933075,0.004226294920555419,0.9999967229830281,0.9999967229830281,-0.0007894736842105265
5.37028092265655,0.0043117687352043224,0.9999969027961576,0.9999969027961575,-0.0007894736842105265
5.373971837380026,0.004397242549853226,0.9999971237026064,0.9999971237026064,-0.0007894736842105265
5.377662752103501,0.004482716364502129,0.9999973682174308,0.9999973682174308,-0.0007894736842105265
5.381353666826976,0.004568190179151012,0.9999976176561871,0.9999976176561871,-0.0007894736842105265
5.385044581550451,0.004653663993799915,0.9999978550529861,0.9999978550529861,-0.0007894736842105265
5.3887354962739265,0.004739137808448819,0.9999980673222058,0.9999980673222058,-0.0007894736842105265
5.392426410997402,0.004824611623097723,0.9999982463778474,0.9999982463778474,-0.0007894736842105265
5.396117325720877,0.004910085437746626,0.9999983892013135,0.9999983892013135,-0.0007894736842105265
5.399808240444353,0.00499555925239553,0.9999984970723823,0.9999984970723823,-0.0007894736842105265
5.602808550235494,-0.0012448366256296317,0.9998539744909511,0.9998539744909511,-0.0013157894736842103
5.606499464958969,-0.0011515924641944868,0.999817346042861,0.999817346042861,-0.0013157894736842103
5.610190379682444,-0.0010583483027593193,0.9997721901007117,0.9997721901007117,-0.0013157894736842103
5.613881294405919,-0.0009651041413241516,0.9997176866858114,0.9997176866858114,-0.0013157894736842103
