B_applied_T,M_proj,S,t_s
0.00039087119261363033,0.12737943335000787,0.1275607486042624,0.9833950625431145
0.0003912556636186884,0.12745161124546345,0.12763465606530477,0.9837826085890793
0.00039164050189531433,0.12752392590490452,0.12770871013317883,0.9841701546350441
0.00039202570780475616,0.1275963777789793,0.12778291127222954,0.9845577006810093
0.00039241128170860605,0.12766896731849006,0.1278572599465831,0.9849452467269741
0.0003927972239688017,0.12774169497435683,0.12793175662010348,0.985332792772939
0.00039318353494762783,0.1278145611975801,0.12800640175634834,0.9857203388189038
0.0003935702150077139,0.12788756643920324,0.12808119581852426,0.9861078848648686
0.0003939572645120372,0.12796071115027396,0.12815613926944164,0.9864954309108338
0.00039434468382391983,0.1280339957818054,0.12823123257146835,0.9868829769567986
0.00039473247330703263,0.12810742078473675,0.12830647618648355,0.9872705230027634
0.0003951206333253936,0.12818098660989286,0.1283818705758303,0.9876580690487282
0.0003955091642433686,0.12825469370794354,0.12845741620026752,0.9880456150946935
0.0003958980664256711,0.12832854252936224,0.12853311351992172,0.9884331611406583
0.0003962873402373631,0.12840253352438408,0.12860896299423794,0.9888207071866231
0.0003966769860438568,0.12847666714296327,0.1286849650819299,0.9892082532325879
0.0003970670042109122,0.12855094383473,0.1287611202409298,0.9895957992785531
0.0003974573951046387,0.1286253640489467,0.1288374289283373,0.9899833453245179
0.0003978481590914966,0.12869992823446366,0.12891389160036806,0.9903708913704827
0.00039823929653829576,0.12877463683967424,0.12899050871230158,0.9907584374164475
0.000398630807812197,0.1288494903124694,0.1290672807184287,0.9911459834624123
0.00039902269328071193,0.1289244891001915,0.12914420807199803,0.9915335295083776
0.00039941495331170286,0.12899963364958783,0.1292212912251622,0.9919210755543424
0.0003998075882733842,0.1290749244067635,0.12929853062892363,0.9923086216003072
0.0004002005985343226,0.1291503618171335,0.12937592673307935,0.992696167646272
0.00040059398446343696,0.12922594632537468,0.12945347998616552,0.9930837136922372
0.00040098774642999746,0.12930167837537676,0.12953119083540154,0.993471259738202
0.00040138188480362904,0.1293775584101931,0.12960905972663322,0.9938588057841669
0.0004017763999543092,0.12945358687199082,0.12968708710427593,0.9942463518301317
0.0004021712922523697,0.1295297642020003,0.12976527341125668,0.9946338978760969
0.00040256656206849454,0.12960609084046437,0.1298436190889565,0.9950214439220617
0.00040296220977372447,0.12968256722658697,0.1299221245771513,0.9954089899680265
0.0004033582357394532,0.1297591937984812,0.13000079031395317,0.9957965360139913
0.00040375464033743085,0.12983597099311694,0.13007961673575086,0.9961840820599561
0.000404151423939762,0.129912899246268,0.1301586042771496,0.9965716281059214
0.00040454858691890694,0.12998997899245895,0.13023775337091076,0.9969591741518862
0.0004049461296476827,0.13006721066491114,0.13031706444789118,0.997346720197851
0.0004053440524992625,0.1301445946954888,0.13039653793698186,0.9977342662438158
0.000405742355847177,0.13022213151464432,0.1304761742650462,0.998121812289781
0.0004061410400653121,0.13029982155136297,0.13055597385685838,0.9985093583357458
0.0004065401055279137,0.13037766523310804,0.13063593713504046,0.9988969043817106
0.0004069395526095836,0.13045566298576455,0.13071606452000026,0.9992844504276754
0.0004073393816852839,0.13053381523358315,0.1307963564298679,0.9996719964736407
0.00040773959313033267,0.13061212239912406,0.13087681328043282,1.0000595425196055
0.0004081401873204086,0.13069058490319954,0.13095743548507988,1.0004470885655703
0.00040854116463154966,0.13076920316481708,0.13103822345472574,1.000834634611535
0.00040894252544015306,0.13084797760112193,0.13111917759775463,1.0012221806575
0.0004093442701229765,0.1309269086273392,0.131200298319954,1.0016097267034652
0.0004097463990571363,0.13100599665671575,0.13128158602444984,1.00199727274943
0.0004101489126201119,0.13108524210046202,0.13136304111164215,1.0023848187953948
0.000410551811189742,0.13116464536769332,0.13144466397913993,1.0027723648413596
0.0004109550951442284,0.13124420686537128,0.13152645502169608,1.0031599108873248
0.0004113587648621323,0.13132392699824463,0.13160841463114234,1.0035474569332896
0.0004117628207223789,0.13140380616879013,0.13169054319632378,1.0039350029792544
0.00041216726310425536,0.13148384477715347,0.13177284110303378,1.0043225490252192
0.0004125720923874116,0.13156404322108933,0.13185530873394843,1.004710095071184
0.0004129773089518612,0.13164440189590243,0.1319379464685611,1.0050976411171493
0.0004133829131779797,0.1317249211943874,0.13202075468311697,1.005485187163114
0.0004137889054465087,0.13180560150676918,0.1321037337505479,1.0058727332090789
0.00041419528613855216,0.13188644322064325,0.1321868840404068,1.0062602792550437
0.00041460205563558075,0.13196744672091595,0.1322702059188025,1.006647825301009
0.0004150092143194275,0.13204861238974436,0.13235369974833455,1.0070353713469737
0.0004154167625722927,0.13212994060647673,0.13243736588802815,1.0074229173929385
0.00041582470077674183,0.13221143174759273,0.13252120469326947,1.0078104634389033
0.00041623302931570667,0.13229308618664354,0.1326052165157407,1.0081980094848686
